date	julian	simptoms	test	positive
2023-09-03	1297	27	27	8
2023-09-04	1298	37	86	121
2023-09-05	1299	27	111	143
2023-09-06	1300	20	75	276
2023-09-07	1301	33	65	110
2023-09-08	1302	23	41	71
2023-09-09	1303	21	36	16
2023-09-10	1304	24	28	11
2023-09-11	1305	25	58	108
2023-09-12	1306	15	54	73
2023-09-13	1307	10	40	58
2023-09-14	1308	30	43	58
2023-09-15	1309	13	18	9
2023-09-16	1310	19	24	28
2023-09-17	1311	13	21	4
2023-09-18	1312	16	53	83
2023-09-19	1313	12	41	99
2023-09-20	1314	17	45	75
2023-09-21	1315	16	37	80
2023-09-22	1316	15	36	61
2023-09-23	1317	20	18	16
2023-09-24	1318	16	20	9
2023-09-25	1319	16	46	119
2023-09-26	1320	10	39	66
2023-09-27	1321	6	34	81
2023-09-28	1322	8	19	59
2023-09-29	1323	10	28	37
2023-09-30	1324	11	9	11
2023-10-01	1325	19	20	9
2023-10-02	1326	11	32	78
2023-10-03	1327	14	24	74
2023-10-04	1328	7	16	43
2023-10-05	1329	6	22	47
2023-10-06	1330	7	18	43
2023-10-07	1331	4	9	4
2023-10-08	1332	1	4	5
2023-10-09	1333	4	14	16
2023-10-10	1334	4	10	44
2023-10-11	1335	5	11	42
2023-10-12	1336	4	16	23
2023-10-13	1337	4	7	26
2023-10-14	1338	1	5	0
2023-10-15	1339	5	7	1
2023-10-16	1340	3	6	21
2023-10-17	1341	7	9	26
2023-10-18	1342	5	10	28
2023-10-19	1343	15	23	54
2023-10-20	1344	4	5	3
2023-10-21	1345	5	8	3
2023-10-22	1346	7	11	5
2023-10-23	1347	13	28	47
2023-10-24	1348	5	14	50
2023-10-25	1349	8	12	35
2023-10-26	1350	3	16	51
2023-10-27	1351	6	18	44
2023-10-28	1352	4	7	6
2023-10-29	1353	3	4	1
2023-10-30	1354	2	19	50
2023-10-31	1355	4	9	52
2023-11-01	1356	4	3	1
2023-11-02	1357	4	9	77
2023-11-03	1358	8	12	36
2023-11-04	1359	5	10	3
2023-11-05	1360	4	10	13
2023-11-06	1361	12	22	72
2023-11-07	1362	11	25	39
2023-11-08	1363	7	28	63
2023-11-09	1364	7	17	96
2023-11-10	1365	9	9	47
2023-11-11	1366	7	14	5
2023-11-12	1367	11	15	6
2023-11-13	1368	13	38	31
2023-11-14	1369	17	26	71
2023-11-15	1370	13	31	43
2023-11-16	1371	6	27	48
2023-11-17	1372	12	23	35
2023-11-18	1373	8	11	2
2023-11-19	1374	12	13	4
2023-11-20	1375	20	37	60
2023-11-21	1376	6	27	85
2023-11-22	1377	11	32	38
2023-11-23	1378	10	29	43
2023-11-24	1379	18	34	46
2023-11-25	1380	13	21	14
2023-11-26	1381	13	20	8
2023-11-27	1382	13	52	42
2023-11-28	1383	14	41	40
2023-11-29	1384	17	31	35
2023-11-30	1385	15	33	44
2023-12-01	1386	9	23	19
2023-12-02	1387	3	19	10
2023-12-03	1388	12	14	10
2023-12-04	1389	20	41	56
2023-12-05	1390	15	53	75
2023-12-06	1391	11	36	60
2023-12-07	1392	11	39	65
2023-12-08	1393	17	26	0
2023-12-09	1394	10	17	0
2023-12-10	1395	9	20	8
2023-12-11	1396	24	53	55
2023-12-12	1397	21	40	53
2023-12-13	1398	18	42	56
2023-12-14	1399	18	41	94
2023-12-15	1400	17	41	37
2023-12-16	1401	17	26	15
2023-12-17	1402	13	30	10
2023-12-18	1403	23	53	61
2023-12-19	1404	15	62	73
2023-12-20	1405	19	51	56
2023-12-21	1406	14	46	70
2023-12-22	1407	10	38	44
2023-12-23	1408	19	31	6
2023-12-24	1409	22	33	16
2023-12-25	1410	21	24	13
2023-12-26	1411	20	62	37
2023-12-27	1412	30	82	80
2023-12-28	1413	23	88	107
2023-12-29	1414	22	60	59
2023-12-30	1415	25	28	21
2023-12-31	1416	21	29	8
2024-01-01	1417	24	30	3
2024-01-02	1418	32	77	62
2024-01-03	1419	47	96	106
2024-01-04	1420	47	102	122
2024-01-05	1421	40	95	82
2024-01-06	1422	40	54	14
2024-01-07	1423	45	65	13
2024-01-08	1424	59	136	101
2024-01-09	1425	55	152	144
2024-01-10	1426	61	156	180
2024-01-11	1427	33	121	155
2024-01-12	1428	63	107	113
2024-01-13	1429	43	55	19
2024-01-14	1430	36	46	18
2024-01-15	1431	76	143	150
2024-01-16	1432	59	144	155
2024-01-17	1433	53	110	149
2024-01-18	1434	66	170	195
2024-01-19	1435	63	134	121
2024-01-20	1436	53	44	20
2024-01-21	1437	57	66	25
2024-01-22	1438	77	209	128
2024-01-23	1439	73	152	186
2024-01-24	1440	61	161	152
2024-01-25	1441	51	156	209
2024-01-26	1442	67	162	122
2024-01-27	1443	67	67	40
2024-01-28	1444	62	88	36
2024-01-29	1445	88	237	170
2024-01-30	1446	74	148	253
2024-01-31	1447	49	167	185
2024-02-01	1448	102	175	198
2024-02-02	1449	70	174	164
2024-02-03	1450	93	80	20
2024-02-04	1451	74	73	24
2024-02-05	1452	108	301	260
2024-02-06	1453	99	188	252
2024-02-07	1454	65	219	228
2024-02-08	1455	71	233	223
2024-02-09	1456	81	189	158
2024-02-10	1457	86	108	19
2024-02-11	1458	48	140	56
2024-02-12	1459	75	286	524
2024-02-13	1460	83	209	260
2024-02-14	1461	55	166	189
2024-02-15	1462	63	164	194
2024-02-16	1463	59	151	162
2024-02-17	1464	54	83	23
2024-02-18	1465	56	46	24
2024-02-19	1466	68	221	181
2024-02-20	1467	75	181	188
2024-02-21	1468	70	166	239
2024-02-22	1469	40	138	172
2024-02-23	1470	46	149	193
2024-02-24	1471	48	59	13
2024-02-25	1472	56	48	13
2024-02-26	1473	76	180	250
2024-02-27	1474	45	151	211
2024-02-28	1475	40	133	181
2024-02-29	1476	33	106	168
2024-03-01	1477	42	110	151
2024-03-02	1478	31	41	16
2024-03-03	1479	36	46	3
2024-03-04	1480	46	97	170
2024-03-05	1481	44	98	134
2024-03-06	1482	30	104	138
2024-03-07	1483	28	84	116
2024-03-08	1484	26	76	85
2024-03-09	1485	31	36	16
2024-03-10	1486	33	29	7
2024-03-11	1487	44	96	135
2024-03-12	1488	29	76	101
2024-03-13	1489	19	67	156
2024-03-14	1490	20	64	95
2024-03-15	1491	25	66	115
2024-03-16	1492	16	27	11
2024-03-17	1493	14	30	14
2024-03-18	1494	17	60	96
2024-03-19	1495	11	39	88
2024-03-20	1496	5	21	96
2024-03-21	1497	4	26	74
2024-03-22	1498	1	12	66
2024-03-23	1499	0	4	7
2024-03-24	1500	0	1	5
